character	line
CAROLYN	Here's the report on Pollux Five, Captain. This entire system has been almost the same. A strange lack of intelligent life on the planets. It bugs the percentages.
KIRK	Bugs the? Well, carry out the standard procedures on Pollux Four.
CAROLYN	Aye, sir.
MCCOY	Lieutenant, you look a bit tired this morning.
CAROLYN	Well, I was up all night working on this report, sir.
SCOTT	Well in that case, there's nothing like a wee bit of coffee to get you back in shape. Join me, Carolyn?
CAROLYN	All right, Scotty. Just let me give this to Mister Spock.
KIRK	Bones, could you get that excited over a cup of coffee?
MCCOY	Even from here I can tell his pulse rate's up.
SCOTT	Gentlemen. Come along, my dear.
MCCOY	I'm not sure I like that, Jim.
KIRK	Why, Bones? Scotty's a good man.
MCCOY	And he thinks he's the right man for her, but I'm not sure she thinks he's the right man. On the other hand, she's a woman. All woman. One day she'll find the right man and off she'll go, out of the service.
KIRK	I like to think of it not so much losing an officer as gaining
SCOTT	Come along.
KIRK	Actually, I'm losing an officer.
CHEKOV	Entering standard orbit around Pollux Four, sir.
KIRK	Cartographic Detail, stand by.
UHURA	Standing by, sir.
KIRK	Preliminary reports, Mister Spock.
SPOCK	Pollux Four. Class M type planet, oxygen and nitrogen atmosphere. Sensors indicate no life forms. Approximate age four billion years. Judged no reason for contact. In all respects, quite ordinary, Captain.
KIRK	Cartographic Sections, implement standard orders.
UHURA	All cartographic standards full automatic.
SULU	Captain?
MCCOY	What in the name of?
KIRK	Analysis, Mister Spock.
SPOCK	Momentarily.
CHEKOV	Am I seeing things?
SULU	Not unless I am, too. Captain, that thing's a giant hand.
KIRK	What is it, Mister Spock? Is it a hand?
SPOCK	Negative, Captain. Not living tissue.
KIRK	A trick, then? A projection?
SPOCK	Not a projection, sir. A field of energy.
KIRK	Hard about.
SULU	Hard about. We can't seem to get away from it.
UHURA	It's almost as if it means to grab us.
KIRK	Reverse all engines.
SULU	All engines reverse.
SULU	We're dead still, Captain. Helm doesn't answer. We can't move.
KIRK	Captain's log, stardate 3468.1. While approaching Pollux Four, a planet in the Beta Geminorum system, the Enterprise has been stopped in space by an unknown force of some kind.
KIRK	Lieutenant, relay our position and circumstances to Starbase Twelve immediately.
UHURA	Aye, aye, sir.
KIRK	Mister Sulu try rocking the ship. Full impulse power forward and back.
SULU	Aye, aye, sir.
UHURA	Damage report coming in, Captain. Situation under control. Minor damage, stations three, seven, and nineteen.
MCCOY	Sickbay reports five minor injuries, all being treated.
KIRK	Thank you. Mister Sulu?
SULU	Applying thrust, sir. No results, Captain. We're stuck tight.
KIRK	Mister Spock. Status.
SPOCK	The ship is almost completely encircled by the field. It resembles a conventional force field but on unusual wavelengths. Despite its appearance, that of a human appendage, it is definitely not living tissue. It is energy.
KIRK	Thank you. Mister Sulu. Our forward tractor beams, adjust to repel.
SULU	Aye, aye, sir. Standing by.
KIRK	Activate.
SULU	Ineffective, Captain. There doesn't seem to be anything to push against.
SPOCK	Captain, a most curious development on scanner five seven.
KIRK	Let's all take a look at it, Mister Spock.
SPOCK	Screen on, Captain.
UHURA	Activity on hailing channel three, sir.
KIRK	Put it on audio, Lieutenant.
APOLLO	The eons have passed and what has been written has come about. You are most welcome, my beloved children. Your places await you.
KIRK	Response frequencies, Lieutenant.
UHURA	Calculated. Channel open, sir.
APOLLO	You have left your plains and valleys and made this bold venture. So it was in the beginning. You have made me proud. Now you can rest.
KIRK	This is Captain James T. Kirk, commanding the USS Enterprise. Please identify yourself.
APOLLO	We shall remember together. We shall drink the sacramental wine. There shall be the music of the pipes. The long wait has ended.
KIRK	Are you responsible for stopping the ship?
