character	line
KIRK	Captain's log, stardate 3211.7. We are entering standard orbit about Gamma Two, an uninhabited planetoid with an automatic communications and astrogation station.
KIRK	Ensign Chekov, Lieutenant Uhura, and I will beam down and make a routine check of its facilities.
CHEKOV	Standard orbit, Captain.
KIRK	Good. Mind the store, Mister Spock.
SPOCK	Acknowledged, Captain.
KIRK	Lieutenant Uhura, let's go.
UHURA	Yes, sir.
KIRK	Energise, Scotty.
SCOTT	Aye, Captain.
CHEKOV	Captain. what happened?
KIRK	It must be a transporter malfunction.
CHEKOV	That was a rough trip.
KIRK	This isn't Gamma Two. Look at the colour of that sky.
UHURA	This is the craziest landing pad I've ever seen.
KIRK	That's a trinary sun.
SCOTT	Scott to Bridge.
SPOCK	Spock here.
SCOTT	Mister Spock, the Captain, Lieutenant Uhura, and Chekov. they vanished. They got onto the transporter platform and they just vanished.
SPOCK	I presume you mean they vanished in a manner not consistent with the usual workings of the transporter, Mister Scott.
SCOTT	Aye, of course I mean that. You think I'd call if they just beamed down?
SPOCK	Have you reversed controls?
SCOTT	I've made all the proper checks. There was nothing. There was no flash of light, nothing. They were gone.
SPOCK	Power surge?
SCOTT	Not down here. All the dials were right and the transporter was functioning perfectly.
SPOCK	Recheck your equipment, Mister Scott. I'll scan for them on the planet's surface. Spock out.
CHEKOV	But Captain, if we're not on Gamma Two, then where are we?
KIRK	That's what I'd like to know. Kirk to Enterprise. Kirk to Enterprise. Dead.
CHEKOV	Mine, too.
UHURA	Captain. Look.
KIRK	Phasers on stun. Fire. Hand-to-hand.
KIRK	Captain's log, stardate 3211.8. While beaming down from the Enterprise to inspect facilities on Gamma Two, the normal transporter sequence has been interrupted, and we find ourselves on a strange and hostile planet, surrounded by creatures belonging to races scattered all through the galaxy.
GALT	Excellent, Captain Kirk. Although we expected strength and competitive spirit, we are greatly pleased.
KIRK	Either of you hurt?
UHURA	I don't think so, Captain.
CHEKOV	Nobody's hurt, Captain. Yet.
GALT	Admirable, Chekov. Admirable. You also, Uhura. Your spirit is as great as the captain's. I can see you all will prove invaluable here. I am Galt, Master Thrall of the planet Triskelion. I have been sent to welcome you.
GALT	There, Captain. Now you are prepared for your training.
KIRK	How do you know our names?
GALT	The Providers were expecting you, Captain. They arranged your transportation.
