character	line
SPOCK	Deep Space Station K7 now within sensor range, Captain.
KIRK	Good. Mister Chekov, this flight is supposed to provide both experience and knowledge. How close will we come to the Klingon outpost if we continue on our present course?
CHEKOV	One parsec, sir. Close enough to smell them.
SPOCK	That is illogical, Ensign. Odours cannot travel through the vacuum of space.
CHEKOV	I was making a little joke, sir.
SPOCK	Extremely little, Ensign.
KIRK	Mister Spock, immediate past history of the quadrant?
SPOCK	Under dispute between the two parties since initial contact. The battle of Donatu Five was fought near here twenty three solar years ago. Inconclusive.
KIRK	Analysis of disputed area?
SPOCK	Undeveloped. Sherman's Planet is claimed by both sides, our Federation and the Klingon Empire. We do have the better claim.
CHEKOV	The area was first mapped by the famous Russian astronomer Ivan Borkoff almost two hundred
KIRK	John Burke.
CHEKOV	Burke, sir? I don't think so. I'm sure it was
SPOCK	John Burke was the Chief Astronomer at the Royal Academy in old Britain at the time.
CHEKOV	Oh, Royal Academy. Well
KIRK	is the rest of your history that faulty, Ensign? Key points of dispute?
CHEKOV	Under terms of the Organian Peace Treaty, one side or the other must prove it can develop the planet most efficiently.
KIRK	And unfortunately, though the Klingons are brutal and aggressive, they are most efficient.
CHEKOV	I remember once Peter the Great had that problem like that. The
UHURA	Captain?
KIRK	Kirk here.
UHURA	I'm picking up a subspace distress call. Priority channel. It's from Space Station K7.
KIRK	Go to warp factor six.
CHEKOV	Code One emergency. That's a disaster call.
UHURA	This is a Red Alert. Man your battle stations. All hands.
KIRK	Captain's Log, stardate 4523.3. Deep Space Station K7 has issued a priority one call. More than an emergency, it signals near or total disaster. We can only assume the Klingons have attacked the station. We're going in armed for battle.
CHEKOV	Main phasers armed and ready, sir.
CHEKOV	But there's nothing there. Just the station.
KIRK	Priority One distress call, and it's just absolutely peaceful. Lieutenant Uhura, break subspace silence.
UHURA	Aye, sir. The channel's open, sir.
KIRK	Space Station K7, this is Captain Kirk of the Enterprise. What is your emergency?
LURRY	This is Mister Lurry, manager of K7. I must apologise for the distress call.
KIRK	Mister Lurry, you issued a Priority One distress call. State the nature of your emergency.
