character	line
SULU	O'Neil, we've got to keep going. Come on, get up.
O'NEIL	It's no use. They're everywhere.
SULU	The Captain gave us an order. We've got to find some clue.
O'NEIL	It's no use, Mister Sulu. Look, there's one of them. There's another one.
SULU	Scouting party to Enterprise.
SULU	Come in.
KIRK	What is it, Mister Sulu?
SULU	Captain, beam us up quick. Emergency.
KIRK	Transporter room, lock onto Sulu and O'Neil. Beam up immediately.
O'NEIL	We've got to make a run for it. We can't just stand here.
SULU	Mister O'Neil, stand tight. They'll beam us up any minute.
O'NEIL	Run, I tell you. We've got to get out of here. You know what they're capable of.
SULU	O'Neil!
KIRK	Sulu, what is it? Where's Lieutenant O'Neil?
SULU	What? Who?
KIRK	Lieutenant O'Neil. Where is he?
SULU	You. You're not of the Body.
KIRK	Doctor McCoy.
SCOTT	Doctor McCoy, transporter room. Quickly.
SULU	You, you did it. They knew we were Archons. These are the clothes they wear, not these.
KIRK	Sulu, take it easy.
SULU	Landru. Landru.
KIRK	Sit down. What happened?
SULU	They're wonderful. They're the sweetest, friendliest people in the universe. It's paradise, my friend. Paradise.
KIRK	Lieutenant O'Neil. Where is he?
SULU	Paradise. Paradise.
KIRK	Captain's Log. Stardate 3156.2. While orbiting planet Beta Three trying to find some trace of the starship Archon that disappeared here a hundred years ago, a search party consisting of two Enterprise officers were sent to the planet below. Mister Sulu has returned, but in a highly agitated mental state. His condition requires I beam down with an additional search detail.
KIRK	Materialisation completed. Kirk out.
SPOCK	Odd. The expression on that man's face. The mindlessness. Vacant contentment.
KIRK	Like Sulu. If everybody on this planet is like him. Let's go.
BILAR	Joy to you, friends.
KIRK	Joy to you.
BILAR	You be strangers. Come for the Festival, are ya?
KIRK	Yes.
BILAR	Got a place to sleep it off yet? Go round to Reger's house. He's got rooms. But you'll have to hurry. It's almost the Red Hour.
KIRK	This Festival, it starts at six o'clock?
BILAR	Tula, these folks come for the Festival. Your daddy can put them up, can't he?
TULA	You're from the Valley?
LINDSTROM	We've just arrived.
TULA	My father will be glad to put you up, though. It's right over there.
BILAR	Tula, come!
KIRK	Let's get out of here.
KIRK	I'm sorry to break in on you like this. We didn't expect that kind of a welcome.
TAMAR	Welcome? You are strangers?
KIRK	Yes, that's right. We're from the valley.
HACOM	You came for the Festival?
KIRK	Yes.
HACOM	Then how come you here?
LINDSTROM	Are you Reger?
REGER	Yes.
LINDSTROM	You have a daughter named Tula.
REGER	Yes.
LINDSTROM	Well, you'd better do something. She's outside.
REGER	I know. It's Festival. It's the will of Landru.
HACOM	Reger, these are young men. They are not old enough to be excused.
REGER	They're visitors.
HACOM	Well, have they no Lawgivers in the Valley? Why be they not at the Festival?
KIRK	We heard that you might have rooms for us.
REGER	There. You see, Hacom? They've merely come looking for a place to rest afterwards.
HACOM	The Red Hour has already struck.
TAMAR	Hacom, these be strangers. The Valley has different ways.
HACOM	Do you say that Landru is not everywhere?
TAMAR	No, of course not. It's simply they may have different ways.
REGER	They've come looking for shelter. Can I turn them away? Come, please.
LINDSTROM	But the girl, out there.
HACOM	She is in festival, as you should be.
REGER	Come, please. Hurry.
HACOM	The Lawgivers should know.
TAMAR	Surely, Hacom, they already know. Are they not infallible?
HACOM	You mock them! You mock the Lawgivers. And the strangers are not of the Body. You will see.
TAMAR	But, Hacom
REGER	You can return here at the close of the Festival. It's quiet. You'll have need of rest.
KIRK	We have no plans to attend the Festival, sir.
REGER	The hour is struck. You can hear.
KIRK	I'd like to hear more about this Festival, and Landru.
REGER	Landru? You ask? You're strange. You scorn Festival? Are you? Are you?
KIRK	What about Landru?
RIOTER	Festival! Festival!
KIRK	Landru. My guess is we have until morning. Let's put the time to good use. Doctor, do atmospheric readings to determine whether there's anything in the air to account for all this. Mister Lindstrom, correlate all that you've seen with any other sociological parallels, if any. Mister Spock, you and I have some serious thinking to do. When we leave here tomorrow morning, I want to have a plan of action.
KIRK	Spock. Spock, Lindstrom. Doc.
REGER	No, no it's all over now. It's all over now, child. That's all right. Quiet.
MCCOY	Excuse me.
REGER	It's all right. It's all over.
KIRK	He'll give her a shot. It'll calm her down. Trust us.
LINDSTROM	You didn't even try to bring her back. What kind of father are you?
REGER	It's Landru's will.
KIRK	What about Landru? Who is he?
TAMAR	It is true then. You did not attend the Festival last night.
KIRK	No.
REGER	Then you're not of the Body. You couldn't be.
MCCOY	She's asleep.
REGER	Are you, are you Archons?
KIRK	What if we are?
REGER	It was said more would follow. If you are indeed
TAMAR	We must hide them. Quickly. The Lawgivers.
KIRK	We can take care of ourselves.
TAMAR	Landru will know. He will come.
HACOM	He is the one. He mocked the Lawgivers. I heard him.
TAMAR	No, Hacom. It was a jest.
