character	line
MCCOY	Look at those pine trees.
KIRK	And that lake.
MCCOY	I swear that's honeysuckle I smell.
KIRK	I swear that's a little orange blossom thrown in. It's unbelievable. Growth exactly like that of Earth on a planet half a galaxy away. What are the odds on such duplication?
SPOCK	Astronomical, Captain. The relative size, age and composition of this planet makes it highly improbable that it would evolve similarly to Earth in any way.
MCCOY	What in blazes is that?
KIRK	Analysis, Spock.
SPOCK	An alien metal of some kind. An alloy resistant to probe. Readings can't even measure its age accurately. These incised symbols are fascinating. Evidently, some form of writing.
KIRK	Any theories about what it is?
SPOCK	Negative, Captain. Structures of this complexity require extremely sophisticated building apparatus, the kind usually found in cultures surpassing or equalling our own.
MCCOY	Meadows and no meteor craters. The whole place is an enigma, biologically and culturally.
KIRK	What's the nearest concentration of life forms, Mister Spock?
SPOCK	Bearing one one seven mark four.
KIRK	And how much time did you say we have to investigate?
SPOCK	If we are to divert the asteroid which is on a collision course with this planet, we must warp out of orbit within thirty minutes. Every second we delay arriving at the deflection point compounds the problem, perhaps past solution.
KIRK	You did say thirty minutes?
SPOCK	Yes, sir.
KIRK	Then let's go. Let's find out what life forms are blessed by this environment.
MCCOY	Why, they look like. I'd swear they're American Indians.
SPOCK	They are, Doctor. A mixture of Navajo, Mohican, and Delaware, I believe. All among the more advanced and peaceful tribes.
KIRK	It's like discovering Atlantis or Shangri-la. Mister Spock, is it possible there's a more evolved civilisation somewhere else on this planet, one capable of building that obelisk or developing a deflector system?
SPOCK	Highly improbable, Captain. Sensor probes indicate only one type of life form here.
MCCOY	Shouldn't we contact them, Jim? Tell them?
KIRK	Tell them what? That an asteroid's coming to smash their world into atoms?
SPOCK	Too primitive to grasp the concept of space flight, Doctor. Our appearance here would only confuse and frighten them.
KIRK	We've got a job to do. Let's get back to the Enterprise.
MCCOY	What's the matter, Jim?
KIRK	What? Oh, nothing. It's just so peaceful, uncomplicated. No problems, no command decisions. Just living.
MCCOY	Typical human reaction to an idyllic natural setting. Back in the twentieth century, we referred to it as the Tahiti Syndrome. It's particularly common to over-pressured leader types, like starship captains.
KIRK	Ah, the Tahiti Syndrome. Let's go take care of that asteroid. But first I want another look at that obelisk.
SPOCK	Doctor?
MCCOY	Yes.
SPOCK	I suggest that any further research on your part be delayed until after we have diverted the asteroid.
KIRK	Kirk to Enterprise.
CHEKOV	Yes, sir.
SPOCK	Captain's Log, stardate 4842.6. First Officer Spock commanding. Numerous search parties and repeated sensor probes of the area have failed to locate Captain Kirk.
SPOCK	Spock to Enterprise.
SCOTT	Enterprise. Come in, Mister Spock.
SPOCK	Prepare to beam us up, Mister Scott. We're warping out of orbit.
MCCOY	Leaving? You can't be serious, Spock.
SPOCK	Doctor, that asteroid is almost as large as your Earth's moon. Far enough away, the angle necessary to divert it enough to avoid destruction is minute, but as the asteroid approaches this planet, the angle becomes so great that even the power of a starship
MCCOY	The devil with an asteroid! It won't get here for two months, Spock!
SPOCK	If we arrive at the deflection point in time, it may not get here at all.
MCCOY	In the meantime, what about Jim?
SPOCK	Once the asteroid has been diverted, we'll return here and resume the search.
MCCOY	That may be hours from now. He may be injured or dying.
SPOCK	Doctor, assume this is the planet we're on. This is the approaching asteroid. If we don't get to that deflection point in time, it will become physically impossible to divert this asteroid. In that case, everyone on this planet will die, including the captain.
MCCOY	Can a few more minutes matter, Spock?
SPOCK	In the time it's taken me to explain the problem, the asteroid has moved from here to here. The longer we delay, the less the likelihood of being able to divert it. Beam us up, Mister Scott.
KIRK	Where am I? What place is this? What are these? I feel should know. They're familiar and yet unfamiliar. How did I get here? Who am I? Try to remember.
MIRAMANEE	Wait.
KIRK	Who are you?
MIRAMANEE	We are your people. We've been waiting for you to come to us.
SPOCK	Captain's log, stardate 4843.6. First Officer Spock commanding. We've been en route to the asteroid for several hours. Our delay on the planet's surface has made it imperative that we proceed at maximum warp speed for a period which exceeds the recommended safety margin.
SCOTT	I can't give you warp nine much longer, Mister Spock. These engines are beginning to show signs of stress.
SPOCK	Stress or not, we cannot reduce speed. I do not intend to miss that
SPOCK	Deflection point.
SCOTT	All right, but we're moving further into the danger range all the time.
SCOTT	If these circuits
SPOCK	Objection noted, Mister Scott. Carry on.
ELDER	Miramanee has said that you appeared to her and to her handmaiden from the walls of the temple, just as our legend foretells. We do not doubt the words of our priestess, but these are troubled times, and we must be sure.
KIRK	I'll answer anything I can, but as I told you, many things are strange to me.
SALISH	He knows nothing of our danger. How could he save us?
ELDER	It is against custom to interrupt a tribal elder at council, even for the medicine chief.
SALISH	Elder, words will not save us when the skies darken. We must be certain. I say he must prove he is a god.
ELDER	Our skies have darkened three times since the harvest. The last time worst of all. Our legend predicts such danger and promises that the Wise Ones who planted us here will send a god to save us, one who can rouse the temple spirit and make the sky grow quiet. Can you do this?
KIRK	I came from the temple, as Miramanee said, and it was a beginning for me here. But I came from the sky, too. Only I can't remember. I can't remember.
MIRAMANEE	Salish, a terrible thing has happened. The boy was attending the fishnets, and he became entangled in them and sank to the bottom of the river. Lumo brought him up quickly, but he doesn't move.
SALISH	There is no sound in the body. There is no light in the eyes. He will move no more.
KIRK	Wait a moment.
ELDER	Wait.
KIRK	He'll be all right now.
ELDER	My people are grateful.
KIRK	It's a simple technique. It goes way back. Way back.
ELDER	Only a god can breathe life into the dead. Do you still question? Give him the medicine badge.
CHEKOV	Deflection point minus seven.
SPOCK	Full power, Mister Scott.
SCOTT	The relays will reject the overload, Mister Spock!
SPOCK	Then bypass the relays and go to manual control.
SCOTT	We'll burn out the engines!
SPOCK	I want full power, Mister Scott.
SCOTT	Aye, sir.
SCOTT	All right, you lovelies. Hold together. Full power, Mister Spock.
SPOCK	Magnification factor twelve, Mister Sulu.
SULU	Aye, sir.
CHEKOV	Deflection point minus four.
SPOCK	All engines stop. Hold position here.
SCOTT	All engines stop, sir.
SPOCK	Prepare to activate deflectors.
SULU	Aye, sir.
CHEKOV	Power dropping, sir.
SPOCK	Engineering, maintain full power. Full power.
SCOTT	Dilithium crystal circuit's failing, sir. We'll have to replace it.
SPOCK	Not now.
CHEKOV	Zero. Deflection point now, sir.
SPOCK	Activate deflectors.
CHEKOV	Power dropping, sir.
SPOCK	Degree of deflection, Mister Sulu.
SULU	Not enough, Mister Spock. It's only point zero zero one three degrees.
SPOCK	Recircuit power to engines. Maximum speed heading three seven mark zero one zero.
SULU	Aye, sir.
CHEKOV	That heading will put us directly in the asteroid's path, sir.
SPOCK	Correct, Mister Chekov. I intend to retreat in front of that asteroid until we can employ all power on phaser beams.
MCCOY	What for?
SPOCK	To destroy it. A narrow beam concentrated on a single spot will split that mass.
MCCOY	It might also cripple the ship, and we would be crushed by the asteroid.
SPOCK	Incorrect. We'll still be able to get out of its path by use of impulse power.
MCCOY	Jim won't be able to get out of its path.
SPOCK	That, Doctor, is another calculated risk we must take.
SALISH	Miramanee. What are you doing?
MIRAMANEE	I must see to the needs of the god, as is my duty.
SALISH	You should be working on our ritual cloak.
MIRAMANEE	There will be no ritual between us now, Salish.
SALISH	What do you mean? We cannot go against tradition.
MIRAMANEE	It is because of tradition that I cannot marry you.
SALISH	But you are promised to me.
MIRAMANEE	That was before he came.
SALISH	Tribal priestess and medicine chief are always joined.
MIRAMANEE	He is medicine chief now. Salish, choose another. Any maiden would be honoured to join with you.
SALISH	I wish no other.
MIRAMANEE	You have no choice.
SALISH	Miramanee, if you could choose, would you choose me?
MIRAMANEE	Perhaps you would like to bathe now.
KIRK	Miramanee, tell me about the Wise Ones.
MIRAMANEE	Tell? But a god knows everything.
KIRK	Not this one. Tell me.
MIRAMANEE	The Wise Ones brought us here from far away. They chose a medicine chief to keep the secret of the temple and to use it when the sky darkens.
KIRK	Secrets of the temple.
MIRAMANEE	There are no lacings. How is this thing removed?
KIRK	The secrets were passed on from father to son?
MIRAMANEE	Yes. How does this open?
KIRK	Well, why doesn't Salish use it? Why are the people in danger?
MIRAMANEE	His father did not wish to share his power too soon. He died before he told Salish the secret.
ELDER	Our people rejoice and wish to honour your name, but I did not know what you wish to be called. What may I tell them?
