character	line
KIRK	Captain's log. Using the lightspeed breakaway factor, the Enterprise has moved back through time to the twentieth century. We are now in extended orbit around Earth, using our ship's deflector shields to remain unobserved. Our mission, historical research. We are monitoring Earth communications to find out how our planet survived desperate problems in the year 1968.
KIRK	Alert status. Force shields on maximum. Leslie, begin sensor scan.
SPOCK	Transporter room to Captain.
KIRK	Kirk here. What's happening?
SPOCK	It appears we have accidentally intercepted someone's transporter beam, Captain.
SPOCK	It's incredibly powerful.
KIRK	It's impossible. The twentieth century had no such
SPOCK	Captain, something is beaming aboard this vessel.
KIRK	I'll be right there.
SPOCK	The beam is originating at least one thousand light years away.
SCOTT	No transporter beam can reach that far, not even in our century.
KIRK	Something is shaking us apart.
SCOTT	It's locked, it's locked our circuits wide open.
KIRK	You're right. Something is beaming aboard.
SEVEN	Why have you intercepted me?
KIRK	Security.
SECURITY	Security.
KIRK	Transporter room, on the double.
SECURITY	On our way, sir.
SEVEN	Please identify yourselves.
KIRK	This is the United Spaceship Enterprise. I'm Captain Kirk, commanding.
SEVEN	Yes, I heard him, Isis. We're aboard a space vessel. From what planet?
KIRK	Earth.
SEVEN	That's impossible. In this time period, there weren't Humans with a Vulcan? You're from the future, Captain. You're going to have to beam me down to Earth immediately.
KIRK	Phasers on stun.
SEVEN	Careful, Isis. All right. Captain Kirk. My name is Gary Seven. I am a human being from the twentieth century. I was on my way
KIRK	Humans of the twentieth century do not go beaming around the galaxy, Mister Seven.
SEVEN	I've been living on another planet far more advanced. I was beaming to Earth when you intercepted me.
KIRK	The location of that planet?
SEVEN	They wish their existence kept secret. Even in your time, it will remain unknown.
SCOTT	It's impossible to hide a whole planet.
SEVEN	Impossible for you, not for them. Captain Kirk, I am of this time period. You are not. You interfere with me with what I have to do there, and you'll change history. You'll destroy the Earth and probably yourselves, too.
SPOCK	If what he says is true, Captain, every second we delay him could be dangerous.
KIRK	And if he's lying?
SEVEN	This is the most critical period in Earth's history. The planet I'm from wants to help Earth survive.
KIRK	What if it turns out you're an invading alien from the future?
SPOCK	A most difficult decision, Captain.
KIRK	I can't beam you down without further proof one way or the other. Security confinement.
SECURITY	This way, please.
KIRK	Sickbay.
MCCOY	McCoy here.
MCCOY	Jim. Jim! Jim. What's going on there?
MCCOY	Sickbay to transporter room.
MCCOY	Jim, what's going on down there?
KIRK	Bones, check the prisoner you'll find in security confinement. I want a medical analysis fast. Is he or isn't he human?
KIRK	Captain's log, supplemental. A man in a twentieth century business suit. What is he? Not even Spock's Vulcan neck pinch could stop him. Without our phasers, he would have over powered all five of us. I find it difficult to believe the mysterious Mister Seven can be human, and yet, suppose he is?
KIRK	What do you make of the cat, Mister Spock?
SPOCK	Quite a lovely animal, Captain. I find myself strangely drawn to it.
KIRK	This is the captain. All science, engineering, and supervisory personnel, lock into the briefing room. Our next decision can be of enormous consequence, not only to us but to Earth's entire future. You've already been given as much information as we have. Please break in at any time with analysis of that information. Navigation report.
CHEKOV	We have analysed the direction of his beam, sir. Our star maps show no habitable planets in that area of the galaxy.
SPOCK	He did say his planet was hidden, Captain.
KIRK	Engineering.
