character	line
KIRK	You'll enjoy Commodore Travers. He sets a good table.
MCCOY	I wonder if he brought his personal chef along with him to Cestus Three.
KIRK	Probably. Rank hath its privileges.
MCCOY	How well we both know that.
KIRK	Scotty. Kirk here.
TRAVERS	Travers, Jim. We're waiting.
KIRK	Good, Commodore. We're on our way.
TRAVERS	Be sure to bring along your tactical people. I've got an interesting problem for them.
KIRK	We'll beam down immediately, Commodore. Kirk out.
SPOCK	Captain. I wonder why he's insistent that our tactical aides come down.
KIRK	This colony is isolated, exposed, out on the edge of now here. He probably wants additional advice.
SPOCK	Perhaps, Captain, but nevertheless
MCCOY	Spock, isn't it enough the commodore is famous for his hospitality? I, for one, could use a good non-reconstituted meal.
SPOCK	Doctor, you are a sensualist.
MCCOY	You bet your pointed ears I am. Ready whenever you are, Captain.
KIRK	Energise.
KIRK	Kirk to Enterprise. Red alert.
SULU	What is it, Captain?
KIRK	Cestus Three has been destroyed.
KIRK	Full alert. Tricorder readings, Mister Spock. Life detection.
SPOCK	Those messages we got, Captain, the one directing us here yesterday.
KIRK	Faked. All this happened several days ago. Lang, over there. Look for survivors. Kelowitz, that way. O'Herlihy, stick with me.
SPOCK	Captain, impulses that direction. Very weak, possibly a survivor.
KIRK	Come on, Bones.
KIRK	Captain's log, Stardate 3045.6 The Enterprise has responded to a call from Earth observation outpost on Cestus Three. On landing, we have discovered that the outpost has been destroyed.
MCCOY	Captain, over there. Careful, careful. Shock, radiation burns, internal injuries for certain.
MCCOY	Careful, careful. Shock, radiation burns, internal injuries for certain. He's in a bad way, Captain.
KIRK	Keep him alive, Bones. I want to know what's been happening here.
SPOCK	Getting another life reading, Captain.
KIRK	Survivors?
SPOCK	Not survivors. Not warm-blooded. Living creatures, but not human.
KIRK	Where?
SPOCK	Azimuth ninety three degrees, range one five seven zero yards.
KIRK	O'Herlihy.
O'HERLIHY	Captain, I see something.
KIRK	Cover! Kirk to Enterprise, lock on transporters. Beam us up.
SULU	Captain, we're coming under attack. Unidentified ship quartering in.
SULU	We can't beam you up. I've just rigged up defensive screens.
KIRK	Keep those screens up. Fire all phasers.
SULU	Firing phasers, Captain. The alien has screens up, too.
KIRK	Take all action necessary to protect the ship. We'll hold out here.
SULU	Are you under attack, Captain?
SULU	We could drop screens.
KIRK	Keep those screens up. Worry about us when the ship is safe.
KIRK	Kirk out.
KIRK	If they lower those screens to beam us up, they'll be open to phaser attack.
SPOCK	We're hopelessly outnumbered here, Captain. It's those disruptors versus our hand phasers.
KIRK	We're stuck with it, Mister Spock. We'll have to make do with what we've got.
KIRK	Kelowitz, Lang, flank out. Lay down fire on co-ordinates Mister Spock gave you. Even if you don't see them. Keep your heads down.
KIRK	We're helpless down here. And the Enterprise
SPOCK	Sulu is an experienced combat officer.
KIRK	It's my ship, Mister Spock. I should be there. We can't even get at them.
SPOCK	Nor can they at us at the moment. Not unless they moved their original position. That intervening high ground.
KIRK	Can you remember the layout of this place? The arsenal?
SPOCK	About one hundred yards in that direction. But after an attack as thorough as this one
KIRK	I'll risk it.
KIRK	Kirk here. Report.
SULU	Captain, are you all right?
KIRK	Never mind about me. What about the ship?
SULU	We returned fire with all phaser banks. Negative against its deflector screen.
KIRK	Arm your photon torpedoes.
SULU	Aye, aye, sir. Arm photon torpedoes. Stand by.
KIRK	Any identification on the attacking vessel?
SULU	No, sir. Doesn't correspond with any configuration we're familiar with.
SULU	We can't get visual contact. She's too far away.
DEPAUL	Mister Sulu, photon torpedoes locked on.
SULU	Photon torpedoes locked on, Captain.
KIRK	Fire all banks.
SULU	All banks fired, sir.
KIRK	Sulu. Sulu, our communications are being interfered with. Now get this straight.
KIRK	You do anything you think necessary to protect the ship. Leave orbit, maximum warp, anything. Clear?
SULU	Clear, Captain, but you
KIRK	Never mind about me. Protect my ship!
SULU	Yes, sir. Photon torpedoes negative, Captain. I'm warping out of orbit.
KIRK	Good. Contact me when you can. Kirk out.
SPOCK	How is he, Doctor?
MCCOY	He'll be dead in half an hour if we don't get him some decent care.
SPOCK	They're moving. I've got to get to the Captain.
SPOCK	Locked on to the enemy, Captain. They're moving toward the high ground. They've locked on to my tricorder.
SPOCK	Very ingenious. They fed back my own impulses and built up an overload.
KIRK	We'll see how ingenious they are. Here, give me a hand with this grenade launcher. Lang!
SPOCK	Any word from the Enterprise?
KIRK	Sulu's taken her out of orbit.
KELOWITZ	They got Lang, sir.
KIRK	Did you see them?
KELOWITZ	No, sir.
KIRK	An evaluation, Mister Kelowitz. Where do you think they are?
KELOWITZ	If I were them, I'd go to the high ground on the right. I make it twelve hundred yards, azimuth eighty seven. It's pretty close for one of these little jewels, Captain.
KIRK	It'll be a lot closer to them. Stand clear.
KIRK	Kirk here.
SULU	Captain, the alien's withdrawing. She's at extreme range, but our sensors indicate she just activated her transporters.
KIRK	Lock on to the alien, Mister Sulu. I don't want to lose her.
