character	line
KIRK	Captain's Log: Stardate 4372.5. On a top-secret diplomatic mission, the Enterprise has entered the Tellun star system. Maintaining communications blackout, we have taken aboard Petri, Ambassador from Troyius, the outer planet, and are now approaching the inner planet Elas.
KIRK	Some desk-bound Starfleet bureaucrat cut these cloak-and-dagger orders.
SCOTT	Aye, but why the secrecy? This star system's under Federation control.
SPOCK	It's in a border area, Mister Scott. The Klingons also claim jurisdiction.
SCOTT	From what I've seen, it's not worth fighting about. Why are we here, Captain?
KIRK	My orders are to co-operate with Ambassador Petri in all matters pertaining to his mission here.
UHURA	Bridge to Captain Kirk.
KIRK	Scotty. Kirk here. What is it?
UHURA	Captain, I have a signal from the Elasians. They're ready to beam aboard, and they demand an explanation for the delay.
KIRK	Demand? What delay? All right. Beam them aboard.
SPOCK	Sounds typical of the Elasians. The scientists who made the initial investigation reported the men were vicious and arrogant.
MCCOY	That's just the negative part, Mister Spock. I've been over those records. Now the women, they're supposed to be something very special. They're supposed to have a kind of subtle, mystical power that drives men wild.
KIRK	Ambassador Petri, would you drop all this nonsense and tell me what this is about?
PETRI	That must wait until the Dohlman is aboard.
KIRK	Dohlman? What the devil is a Dohlman?
PETRI	The thing most feared and hated by my people. Our most deadly enemy.
PETRI	Welcome. I am Petri, Ambassador of Troyius.
KIRK	I'm Captain Kirk. This ship is under my command.
KRYTON	There's a Troyian here. I must know that all is secure before the Dohlman is brought on board.
KIRK	This ship is secure and we're prepared for any hostile acts. Energise.
KRYTON	Do honour to the Dohlman of Elas.
KRYTON	Glory to Elaan, Dohlman of Elas.
KRYTON	You may stand.
KIRK	Body armour, nuclear weapons.
SPOCK	Not without precedent, Captain. Remember that
KRYTON	Permission to speak was not given.
ELAAN	You rule this ship?
SPOCK	I am the first officer. This is Captain James Kirk.
PETRI	Your Glory, I am Petri. In the name of my people
ELAAN	Your mission is known to us. Captain Kirk, you have now permission to show us to our quarters.
KIRK	Well, now, just a moment. There's going to have to be some kind of understanding.
PETRI	Please.
KIRK	My first officer Mister Spock will show you to your quarters. Ambassador, I'd like to speak to you.
ELAAN	You have not been dismissed.
KIRK	May I have your permission to go?
ELAAN	You are now dismissed.
KIRK	Why, thank you. Ambassador.
KIRK	Ambassador, I think it's time you told me what's going on.
PETRI	That creature, Elaan, is to be the wife of our ruler to bring peace. Our two warring planets now possess the capability of mutual destruction. Some method of co-existence must be found.
KIRK	I see. So, we go back to Troyius.
PETRI	Yes. But slowly, Captain. I will need time. Before we reach there, she must be taught civilised manners. In her present condition, my people would never accept her.
KIRK	And you are to be her teacher?
PETRI	Those are my orders. I must ask you and your crew to respect, or at least tolerate, their arrogance. Friction must be kept at a minimum.
KIRK	Yes, that I can understand.
PETRI	Another thing you should understand, Captain. You have as much at stake as I have. Your superiors made the statement that failure of this mission would be as catastrophic for Federation planning as it would be for our two planets. To gain peace at the price of accepting such a queen is no victory. I will take her the official gifts I bear. Perhaps that will soften her mood.
