character	line
MCCOY	Yes, Jim.
KIRK	How much longer, McCoy?
MCCOY	Oh, about another thirty minutes. I've come across some most interesting organic compounds. Hey, Starfleet was right.
MCCOY	These roots and soil cultures can be a medical treasure house. Any problems there?
KIRK	No sign of the inhabitants so far. Kirk out.
SPOCK	Large prints. The ape-like carnivore in the reports?
KIRK	Yes, the mugato. No problem, though. Those prints are several days old. They seldom stay in one place.
SPOCK	Aside from that, you say it's a Garden of Eden?
KIRK	Or so it seemed to the brash young Lieutenant Kirk on his first planet survey.
SPOCK	Class M in all respects. Quite Earth-like.
KIRK	Except these people stayed in their Garden of Eden. Bows and arrows for hunting, but absolutely no fighting among themselves. Remarkably peaceful and tranquil.
VOICE	Ho! Take cover here!
SPOCK	Bows and arrows, Captain?
KIRK	Villagers with flintlocks? That's impossible. They hadn't progressed nearly that far.
SPOCK	Captain, look.
KIRK	One of those men walking into ambush is Tyree. The friend I lived with here.
SPOCK	Captain, use of our phasers is expressly forbidden.
TYREE	Villagers!
MCCOY	Enterprise, alert! Stand by to beam up landing party.
KIRK	Spock? Your phaser.
SPOCK	No, Captain. I can travel.
KIRK	Beam us up, quickly.
MCCOY	Now, Scotty. Have medics stand by.
SCOTT	What happened, Captain?
KIRK	Lead projectile. Primitive firearm.
M'BENGA	Vitalizer B.
MCCOY	Pressure packet. Lucky his heart's where his liver should be, or he'd be dead now.
M'BENGA	Not good, sir.
MCCOY	Coranalin.
KIRK	Bones, can you save him?
UHURA	All decks, Red Alert! Battle stations, battle stations! Go to Red Alert!
KIRK	Kirk here.
UHURA	Uhura, sir. We have a Klingon vessel on our screen.
KIRK	On my way. Scotty. Bones?
MCCOY	I don't know yet, Jim.
CHEKOV	Captain, we're holding the planet between us and the Klingons. I don't think they've spotted us.
UHURA	Make that definite, sir. They're sending a routine message to their home base with no mention of us.
KIRK	Good. Go to Yellow Alert.
UHURA	Yellow Alert. All stations go to Yellow Alert.
KIRK	Do you think you can keep us out of their sight, Chekov?
CHEKOV	I can try, Captain.
UHURA	Message to Starbase, sir?
KIRK	No point in giving ourselves away, Lieutenant. Not until we find out what's going on.
SCOTT	We can hide for a while, sir, but we may have to go out of orbit to keep it up for long.
KIRK	Kirk to Sickbay.
MCCOY	McCoy here. I'll call you soon as I know anything. Sickbay out.
KIRK	So, they've broken the treaty.
SCOTT	Not necessarily, Captain. They have as much right to scientific missions here as we have.
KIRK	Research is not the Klingon way.
SCOTT	True, but since this is a hands-off planet, how are you going to prove they're doing otherwise?
KIRK	When I left there thirteen years ago, those villagers had barely learned to forge iron. Spock was shot with a flintlock. How many centuries between those two developments?
UHURA	On Earth, about twelve, sir.
SCOTT	On the other hand, a flintlock would be the first firearm the inhabitants would normally develop.
KIRK	Yes, I'm aware of that, Mister Scott.
CHEKOV	And, sir, the fact Earth took twelve centuries doesn't mean they had to.
UHURA	We've seen different development at rates on different planets.
SCOTT	And were the Klingons behind it, why didn't they give them breechloaders?
CHEKOV	Or machine guns?
UHURA	Or old-style hand lasers?
KIRK	I did not invite a debate. I'm sorry. I'm worried about Spock and concerned about what's happened to something I once knew down there. You have the conn, Scotty. I'll be in Sickbay.
M'BENGA	We've no replacements for the damaged organs, sir. If he's going to live, his Vulcan physiology will have to do it for him.
MCCOY	Agreed. Sterilite off.
CHAPEL	Yes, sir.
MCCOY	He'll live or die now, Jim. I don't know which. Doctor M'Benga interned on a Vulcan ward. He couldn't be in better hands.
KIRK	Then you and I are transporting down.
MCCOY	I can't leave Spock at this time.
KIRK	You just indicated you could. There are Klingons here. If their mission is a legitimate research interest in the planet's organic potential, then you're the one man who can tell me.
MCCOY	And if that's not it?
KIRK	Then I need help. Advice I can trust as much as Spock's.
MCCOY	I appreciate the compliment, Jim, but
KIRK	Bones, I'm as worried about Spock as you are, but if the Klingons are breaking the treaty it could be interstellar war. Kirk to Bridge.
SCOTT	Bridge, Scott here.
KIRK	McCoy and I are transporting back down. Inform ship's stores that we'll need native costumes.
SCOTT	Captain, we may have to break out of orbit any minute to keep out of their sight. We'd be out of communicator range with you.
KIRK	I understand. We'll arrange a rendezvous schedule. Kirk out.
KIRK	Captain's log, stardate 4211.4. Keeping our presence here secret is an enormous tactical advantage, therefore I cannot risk contact with Starfleet Command. I must take action on my own judgment. I've elected to violate orders and make contact with planet inhabitants.
KIRK	Perfect. Tyree's camp's a quarter of a mile away.
MCCOY	Want to think about it again, Jim? Starfleet's orders about this planet state no interference with
KIRK	No interference with normal social development. I'm not only aware of it, it was my survey thirteen years ago that recommended it.
MCCOY	I read it. Inhabitants superior in many ways to humans. Left alone, they undoubtedly someday will develop a remarkably advanced and peaceful culture.
KIRK	Indeed. And I intend to see that they have that chance. You coming with me?
MCCOY	Do I have a choice?
KIRK	Contact ship. Took full poison. Fangs.
MCCOY	Enterprise, McCoy. Emergency. Come in. Enterprise, come in. McCoy! Emergency!
KIRK	They left. Out of orbit.
MCCOY	Jim, there is no antitoxin for this poison. I can only keep you alive a few hours with this.
KIRK	Tyree. Some of his men. Cure.
MCCOY	Are you hill people? Do you know a hunter named Tyree? A mugato attacked him. He's James Kirk. He's a friend of Tyree's. Blast it! Do something! He's dying!
YUTAN	Take him to the cave. I bring Tyree.
MCCOY	Medical log, stardate 4211.8. Kirk is right about the people here. Despite their fear and our strangeness, they're compassionate and gentle. I've learned the hunter Tyree is now their leader. He is expected to return shortly with his wife, who they say knows how to cure this poison. My problem. The captain is in deep shock. I must keep him warm and alive until then.
MCCOY	You and your Garden of Eden.
NONA	We must obtain the same firesticks, husband. You could be killing them instead. We could take their houses, their goods.
TYREE	Nona, enough. In time the villagers will return to their ways of friendship.
NONA	In time? They kill your people! I am a Kahn-ut-tu woman. In all this land, how many are there? Men seek us because through us they become great leaders.
TYREE	I took you because you cast a spell upon me.
NONA	And I have spells that help me keep you. Remember this leaf? The night we camped by the water?
TYREE	The night of madness.
NONA	Oh, Tyree, did you really hate that madness?
TYREE	No, Nona. No! It brought up evil beasts from my soul.
NONA	Only one lovely beast, Tyree, my huge, angry man.
YUTAN	Forgive me.
NONA	What is it?
YUTAN	There are strangers in our camp. One has taken the mugato bite. He dies.
NONA	Strangers?
YUTAN	It is said the dying one is a friend of Tyree, from long ago.
NONA	That one. Bring him when his head clears.
NONA	The stranger, where is he?
TYREE	Nona, where's Kirk? The cave?
NONA	Tyree, you wish me to save him?
TYREE	You must. He is the one I told you of. The friend of my younger days.
NONA	My remedies require I know what kind of man he is. All that is known of him.
TYREE	I gave him my promise of silence. He was made my brother.
NONA	And I am your wife, his sister. I promise silence also.
TYREE	Nona
NONA	Quickly! Or he dies.
M'BENGA	Don't let these low panel readings bother you. I've seen this before in Vulcans. It's their way of concentrating all their strength, blood, and antibodies onto the injured organs. A form of self-induced hypnosis.
CHAPEL	You mean he's conscious?
M'BENGA	Well, in a sense. He knows we're here and what we're saying, but he can't afford to take his mind from the tissue he's fighting to heal. I suppose he even knows you were holding his hand.
CHAPEL	A good nurse always treats her patients that way. It proves she's interested.
TYREE	I am Tyree.
NONA	And I'm Tyree's woman.
TYREE	It is Kirk. She will cure him.
MCCOY	What's that?
NONA	A mahko root.
MCCOY	A plant? It moves.
NONA	For those who know where to find it, how to use it, how to pick it.
NONA	Take this of my soul. This of my soul. Thine own. Into thine. Deeply. Together. Your pain is mine. All mine. Your soul and mine, together! Return. It is past. Return. Return!
KIRK	Bones. I had the strangest dream.
MCCOY	How do you feel, Jim?
KIRK	Tired. Very tired. You did a fine job, Bones. I think I'll sleep.
MCCOY	I want to thank you for saving his life. I would like to learn more about this.
NONA	Our blood has passed through the mahko root together. Our souls have been together. He is mine now.
TYREE	She must sleep also.
MCCOY	He is hers?
TYREE	When a man and woman are joined in this manner, he can refuse her no wish. But it is only legend.
MCCOY	Jim.
KIRK	Bones. What are you doing here? Tyree. My old friend.
TYREE	Yes, James! James, it's good to see you.
KIRK	What am I doing here? A mugato bite! I remember. I told him to take me to Tyree's camp. I knew you'd find a kahn-ut-tu to cure me. The kahn-ut-tu is the local witch people here. They've studied They've studied the roots and the herbs.
NONA	I am a kahn-ut-tu, Captain. I cured you.
TYREE	My wife, Nona.
