character	line
UHURA	Still no response, sir.
KIRK	No, keep it open. I don't like this. Nothing since the first check in. Scott and Sulu should've contacted us again a half an hour ago.
SPOCK	They may have nothing to report. Our sensors indicate no life forms except our landing party.
KIRK	Both those men are well aware of landing party procedure. They should've checked in with us by now.
UHURA	Contact established, Captain.
JACKSON	Jackson to Enterprise.
KIRK	Enterprise. Kirk here.
JACKSON	One to beam up, Enterprise.
KIRK	One? Jackson, where are Scott and Sulu?
JACKSON	I'm ready to beam up, sir.
KIRK	Jackson!
UHURA	I'm sorry. I can't clear it, Captain.
KIRK	Notify Transporter room to prepare to beam up one member of the landing party. Then have Doctor McCoy report to me in the Transporter room on the double.
UHURA	Yes, sir.
KYLE	Ready, sir.
KIRK	Energise.
MCCOY	What's on, Jim?
KIRK	Trouble. Jackson, where are the others?
MCCOY	The man is dead.
KOROB	Captain Kirk, can you hear me? There is a curse on your ship. Leave this place or you will all die.
KIRK	Captain's Log, stardate 3018.2. Crewman Jackson is dead and there are no apparent physical causes. Mister Scott and Mister Sulu are still out of touch on the planet below. Leaving Assistant Chief Engineer DeSalle in command of the Enterprise, I'm beaming down to the planet's surface to find my two missing crewmen and discover what killed Jackson.
KIRK	Odd. Our probe data didn't indicate fog.
SPOCK	No cloud formations, no bodies of water, no changes in surface temperature. Under these conditions, fog is highly unlikely, Captain. According to our transporter co-ordinates this is the exact location from which Jackson was beamed up to the ship.
KIRK	Readings, Mister Spock.
SPOCK	No indications of. A moment, Captain. Picking up life form readings. Twenty four degrees mark seven. Range one thirty seven point one six metres. Multiple readings, Captain.
MCCOY	Scott and Sulu?
KIRK	Kirk to Enterprise.
UHURA	Enterprise. Lieutenant Uhura here.
KIRK	What are the ship's sensors reading now, Lieutenant?
DESALLE	Report, Mister.
CHEKOV	I am only picking up physical impulses from the three of them. As far as instruments can make out, there is nothing else down there that's alive.
DESALLE	Relay, Lieutenant.
UHURA	Captain, we are only registering on you. Captain? Captain Kirk?
KIRK	Lieutenant, can you hear me?
MCCOY	Whatever this stuff is, it's getting thicker. Suppose that has anything to do with the interference?
KIRK	I don't know. There has to be some explanation for the fact that the ship's sensors can't register anything but us, while we're picking up readings of multiple life forms. Are they still there, Spock?
SPOCK	No change, Captain.
KIRK	Stand-by alert.
MCCOY	Listen. Now, what do you think that
KIRK	Quiet.
WITCH	Captain Kirk!
WITCH	Captain Kirk!
WITCH	Captain Kirk!
KIRK	Who are you?
WITCH	Go back!
WITCH	Go back!
WITCH	Go back! Remember the curse!
WITCH	Wind shall rise.
WITCH	And fog descend.
WITCH	So leave here, all, or meet your end.
KIRK	Spock. Comment?
SPOCK	Very bad poetry, Captain.
KIRK	A more useful comment, Mister Spock.
SPOCK	What we've just seen is not real.
KIRK	That's useful.
SPOCK	However, on azimuth twenty four, at just over one hundred metres, there are definitely life forms. Erratic, confused, but definitely registering.
KIRK	That's where we're going.
MCCOY	That was a pretty real illusion, Mister Spock.
MCCOY	Jim.
SPOCK	This is the source of the life form readings, Captain. They're inside, somewhere.
KIRK	Kirk to Enterprise. Enterprise, come in.
MCCOY	Is this how we lost contact with the first landing party?
KIRK	What about it, Spock? Does this structure have anything to do with communicator interference?
SPOCK	I would say not, Captain. There's no indication of anything that would cause such interference.
KIRK	And it doesn't pick up on our ship's sensors.
SPOCK	Nor do our sensors register the life forms inside.
KIRK	Could it be exerting a force field of some kind that cuts into our sensor scan.
MCCOY	Then it would affect Spock's tricorder too, wouldn't it?
KIRK	Would it? I wonder.
MCCOY	Three witches, what appears to be a castle and a black cat.
KIRK	If we weren't missing two officers and a third one dead I'd say someone was playing an elaborate trick or treat on us.
SPOCK	Trick or treat, Captain?
KIRK	Yes, Mister Spock. You'd be a natural. I'll explain it to you one day. Shall we have a look around?
SPOCK	That would seem to be in order.
KIRK	Bones. Spock.
CHEKOV	They're gone, Mister DeSalle. The captain and the others simply stopped registering.
DESALLE	Check for malfunctions.
CHEKOV	I did, sir, as soon as it happened.
UHURA	Mister DeSalle, that's exactly what happened to Mister Scott and his party. They, they just disappeared.
DESALLE	Nobody just disappears. They may have encountered a magnetic field or some other obstruction. Mister Chekov, recalibrate your sensors. If you need help
CHEKOV	I can do it, sir. I'm not that green.
DESALLE	Lieutenant Uhura, continue in your efforts to break through that static interference.
UHURA	Aye, aye, sir.
DESALLE	We know they're down there. I want them found.
KIRK	Straight ahead, Mister Spock?
SPOCK	The readings would so indicate.
