character	line
KIRK	Captain's Log, stardate 5029.5. Responding to a distress call from our scientific colony on Triacus. We are beaming down to investigate.
KIRK	Professor Starnes? It's Kirk.
MCCOY	He's dead, Captain.
KIRK	He didn't seem to know me.
MCCOY	Cyalodin.
KIRK	Self-inflicted.
STARNES	Must destroy ourselves! Alien upon us. The enemy from within. The enemy!
KIRK	All this. Self-inflicted. Mass suicide.
MARY	You missed me.
STEVE	I did not.
TOMMY	Hi. Who are you?
KIRK	Kirk of the starship Enterprise.
TOMMY	I'm Tommy Starnes. This is Mary, Steve, Ray, and Don.
MARY	Come on. Play with us. Come on. Ring around the rosy, pocket full of posy. Ashes, ashes, we all fall down! Ring around the rosy, pocket full of posy. Ashes, ashes, we all fall down!
KIRK	Captain's log, supplementary. We have buried the members of the Starnes exploration party. Everyone has been deeply affected by what has happened here, with some important exceptions.
MARY	Let's go and play.
KIRK	No sign of grief?
MCCOY	No, Jim. No indication of any kind.
KIRK	Or of fear.
MCCOY	They seem completely secure and unafraid.
KIRK	And you insist their behaviour indicates traumatic shock?
MCCOY	I don't insist, Jim, but I can't dismiss the possibility.
KIRK	A child suppresses the fact that both parents are dead? I can't believe it.
SPOCK	Humans do have an amazing capacity for believing what they choose and excluding that which is painful.
KIRK	Not these children, to this extent. It's incredible.
MCCOY	What those children saw is incredible, Jim. The way those deaths occurred, any reaction is possible including lacunar amnesia. That's my diagnosis. Until specific tests can be made, it remains that.
KIRK	I'll be guided by that opinion, Doctor, for the present. What about questioning them?
MCCOY	Not until the fabric of the traumatisation weakens or you come up with another explanation for their behaviour. Forcing them to see this experience now could cause permanent damage.
KIRK	Accepted, Doctor.
KIRK	Careful.
DON	I'm, I'm sorry, Captain Kirk.
KIRK	Children. Children, listen to me. It's late and it's time to go up to the ship.
DON	Oh, not yet.
MARY	But we're just beginning to have fun.
RAY	Not now.
KIRK	I'm sorry. I'm sorry. You'll go up with the doctor.
MCCOY	Come on. It's time to be going.
KIRK	Whatever happened here is locked up inside those children.
SPOCK	The attack on Professor Starnes' party must surely have been unprovoked.
KIRK	Attack? Mass suicide is what it seems to be.
SPOCK	I stand corrected, Captain. Induced would be a more precise term. Induced by an outside force.
KIRK	Such as?
SPOCK	The release of bacteria. Or a helpless mental depression and a state of suicidal anxiety could have been chemically induced.
KIRK	What would make the children immune?
SPOCK	I do not know, but it is possible.
KIRK	Then the children would have been exempted by conscious design.
SPOCK	A valid assumption, I would say.
KIRK	And their present behaviour explained by a fear of punishment. SPOCK: Or the promise of reward.
KIRK	An attack by an unknown assailant on an uninhabited planet. This planet is uninhabited, Mister Spock, to the best of our information?
SPOCK	At present, yes. Odd.
KIRK	Getting a reading?
SPOCK	There seems to be some disturbance coming from that cave.
KIRK	Picking up any life-forms, Mister Spock?
SPOCK	Definitely not humanoid, Captain. Impossible to make any specific identification. The readings do not correlate with any known information.
KIRK	Oh, that's strange. That's very strange. I'm getting a feeling of anxiety in this place. It doesn't sound very scientific, does it? But it's strongest right here.
SPOCK	I'm not aware of it, Captain.
KIRK	Maybe that's what's registering on your tricorder.
SPOCK	I am not familiar with anxiety, but I wasn't aware it could be registered on sensors.
KIRK	No, of course. That's, that's me. That's me. But what's causing your tricorder to react?
SPOCK	Are you all right, Captain?
KIRK	Yes, I'm fine. I'm fine. Just some sympathetic vibration with what happened here. Let's get back to the ship. I want to check out those tapes from Professor Starnes' tricorder. And I am going to question those children.
CHAPEL	All right, children. Each card is a different flavour. You take your pick, and the computer will mix your favourite combination. Now, what would you like? Call out your favourites.
ALL	Vanilla! Chocolate! Cherry! Banana!
CHAPEL	Well, would you like a surprise, Stevie?
STEVE	It's coconut and vanilla. They're both white.
CHAPEL	There, there now, Stevie. There are unpleasant surprises as well as pleasant ones. That was your unpleasant surprise. Now, what would you like for your pleasant surprise?
STEVE	Chocolate wobble and pistachio.
CHAPEL	Well, coming right up.
STEVE	And peach.
CHAPEL	All right. It's going to be a wonderful surprise.
MCCOY	The tests show no evidence of tensions due to lying. They behave as though nothing had gone wrong. They check out sound physically. There are no signs of any foreign biochemical substances to account for their present state. I have no answers, Jim.
KIRK	There has to be an answer.
MCCOY	Well, can't it wait till we get to a Starbase hospital so they can be checked out by child specialists?
KIRK	We're not leaving here until we find out what went on or what's going on.
MCCOY	Well, I won't prevent you questioning them, but it could harm the children if you do.
KIRK	It could be far worse for them if I don't, and for us too.
MCCOY	Be careful.
CHAPEL	After this, we can all play games.
KIDS	Yeah.
CHAPEL	How do you like getting ice cream out of a computer?
MARY	That was fun.
KIRK	Well, well, well. You're all having such a good time, I think I'll join you. Is that all right?
MARY	Please do.
KIRK	I'll have a dish, too.
CHAPEL	Oh, of course.
KIRK	A little one. A very small one. It's better than Triacus, isn't it?
DON	That dirty old planet?
RAY	What's so good about that place?
STEVE	Yeah?
MARY	You weren't there very long. You don't know.
KIRK	I don't think your parents liked it very much either.
TOMMY	Yes, they did.
STEVE	Yeah. Mine sure did.
DON	Parents like stupid things.
CHAPEL	Oh, I don't know about that. Parents like children.
MARY	Ha. That's what you think.
KIRK	I'm sure your parents loved you. That's why they took you with them to Triacus. So they wouldn't be so far away from you for such a long time. That would make them very unhappy and miss you. I'm sure that you would miss them, too.
TOMMY	Busy, busy.
ALL	Busy. Busy. Busy! Busy!
DON	Guess what we are.
CHAPEL	I know. A swarm of bees.
