character	line
KIRK	Captain's log, stardate 3192.1. The Enterprise is en route to star cluster NGC 321. Objective, to open diplomatic relations with the civilisations known to be there. We have sent a message to Eminiar Seven, principal planet of the star cluster, informing them of our friendly intentions. We are awaiting an answer.
KIRK	Nothing yet, Lieutenant?
UHURA	Nothing, Captain. Hailing frequencies are open.
FOX	Have you received an answer to your message yet, Captain?
KIRK	Nothing yet, Ambassador. We're awaiting a reply. Today's the first time we've had any evidence they've picked up our signal.
UHURA	Captain, message coming in from Eminiar Seven. Sir, it's code seven-ten.
KIRK	Are you sure?
UHURA	Positive. It repeats over and over.
FOX	Is that supposed to mean something?
KIRK	Code seven-ten means under no circumstances are we to approach that planet. No circumstances what so ever.
FOX	You will disregard that signal, Captain.
KIRK	Mister Fox, it is their planet.
FOX	Captain, in the past twenty years, thousands of lives have been lost in this quadrant. Lives that could have been saved if the Federation had a treaty port here. We mean to have that port and I'm here to get it.
KIRK	By disregarding code seven-ten, you might well involve us in an interplanetary war.
FOX	I'm quite prepared to take that risk.
KIRK	You are. I'm thinking about this ship, my crew.
FOX	I have my orders, Captain, and now you have yours. You will proceed on course. Achieve orbit status and just leave the rest to me. You're well aware that my mission gives me the power of command. I now exercise it. You will proceed on course. That's a direct order.
SPOCK	In view of code seven-ten, Captain, may I suggest
KIRK	Yes, Mister Spock. This is the Captain. Condition Yellow Alert. Phaser crews stand by. Deflector shields up. We're going in. Peacefully, I hope. But peacefully or not, we're going in.
KIRK	Captain's log, stardate 3192.5. Now in standard orbit around planet Eminiar Seven. My orders are clear. We must establish diplomatic relations at all cost. Preparing to beam down to planet surface.
SPOCK	We know very little about them. Their civilisation is advanced. They've had space flight for several centuries, but they've never ventured beyond their own solar system. When first contacted more than fifty years ago, Eminiar Seven was at war with its nearest neighbour.
KIRK	Anything else?
SPOCK	The Earth expedition making the report failed to return from its mission. The USS Valiant. Listed as missing in space.
FOX	Kirk, what's this about you going down alone?
KIRK	Not alone. I'm taking some security people with me.
FOX	It is my prerogative.
KIRK	I can't risk beaming you down there until I know what kind of reception you're going to receive. Your safety is my responsibility. Those are my orders, sir. Mister Spock.
SPOCK	Transporter room standing by, Captain.
KIRK	What co-ordinates?
SPOCK	We've selected a site which from the traffic seems to be near an official establishment.
