character	line
PALMER	The distress call definitely came from one of the solar systems in this sector.
KIRK	Can you pinpoint it any closer, Lieutenant?
PALMER	Negative. It was so badly garbled all we got was the name Constellation, then we lost it.
SULU	Sir, we're now within the limits of System L-370, but I can't seem to locate
SPOCK	Captain, sensors show this entire solar system has been destroyed. Nothing left but rubble and asteroids.
KIRK	But that's incredible. The star in this system is still intact. Only a nova could destroy like that.
SPOCK	Nonetheless, Captain, sensors show nothing but debris where we charted seven planets last year.
KIRK	Continue a search pattern.
SULU	Aye, aye, sir.
SULU	Entering limits of System L-374, sir. Scanners show the same evidence of destruction.
KIRK	Every solar system in this sector blasted to rubble and still no sign of the Constellation. Matt Decker's in command. What could have happened to him?
SPOCK	Captain, the two inner most planets of this system appear to be intact.
PALMER	Sir, I'm picking up a ship's disaster beacon.
KIRK	Try to raise it, Lieutenant.
SPOCK	I have it on the sensors, Captain. By configuration, a starship stopped in space. She appears to be drifting.
PALMER	No answer, Captain. All I get is the automatic beacon.
SPOCK	Sensors not recording normal energy output.
KIRK	Approach course, Mister Sulu.
KIRK	It's the Constellation. Look at that.
SPOCK	She may have been wrecked by whatever destroyed these solar systems.
KIRK	She was attacked. Red alert! Red alert! Man your battle stations!
PALMER	Red alert. Red alert. Man your battle stations.
KIRK	Mister Sulu?
SULU	All phaser banks manned and ready, sir.
KIRK	Very good. Initiate a full sensor scan of the immediate area for any other vessel.
SULU	Aye, sir.
KIRK	Lieutenant Palmer.
PALMER	I can't raise the Constellation, sir. I'm still getting the distress beacon, but there's heavy subspace interference. It's almost blocking the signal.
KIRK	Keep trying. Mister Spock, full evaluation of the damage to the Constellation.
SPOCK	All power plants dead, reserve energy banks operative at a very low power level.
KIRK	Life support systems?
SPOCK	Also operative at a low power level. The entire Bridge is damaged and uninhabitable. The rest of the ship seems able to sustain life.
KIRK	Radiation levels?
SPOCK	Normal, but subspace interference makes readings difficult.
SULU	No other vessels in the area, Captain. All scanners show clear.
KIRK	All hands, go to Yellow Alert. Stand by battle stations. Lieutenant, have Doctor McCoy, Mister Scott, and a damage control party report to me in the transporter room.
PALMER	Aye, aye, sir.
KIRK	We're going to board her. Mister Spock, you're in command.
SPOCK	Acknowledged.
WASHBURN	Radiation level normal. Atmospheric pressure eleven pounds per square inch.
CREWMAN	Filtration systems are out, sir.
SCOTT	The whole communication system looks to be shorted out, too, sir.
KIRK	Scotty, check the phaser banks. See if they've been fired. Bones, you come with me.
SCOTT	Come along, lads.
WASHBURN	What a mess.
KIRK	No clutter, no half-empty cups of coffee. Whatever happened didn't happen without a warning.
WASHBURN	What do you think did it, sir?
SCOTT	I don't know, lad. But I want a full structural and control damage check, and I'm going to have a look at those engines.
KIRK	The crew wasn't abducted, they just left. Kirk to Enterprise.
SPOCK	Enterprise, Spock here.
KIRK	No survivors, no bodies either.
KIRK	Is it possible they could have beamed down to one of the two planets?
SPOCK	Improbable, Captain. The surface temperature of the inner planet is that of molten lead. The other has an atmosphere poisonous to human life.
KIRK	We'll continue our search. Kirk out.
